"","cty1","cty2","absimport"
"294",136,144,964155.5625
"295",136,146,2140260.25
"296",136,156,282597.46875
"297",136,158,95584.3984375
"298",136,172,336623.3125
"299",136,174,182857.203125
"300",136,176,87272.6953125
"301",136,178,8311.6904296875
"302",136,182,245194.765625
"303",136,184,153766.21875
"304",136,186,515324.78125
"305",136,193,2522598
"306",136,196,257662.265625
"307",136,199,718960.9375
"308",136,213,3212466.75
"309",136,223,1275843.75
"310",136,228,469610.53125
"311",136,233,37402.58984375
"312",136,238,41558.453125
"313",136,243,12467.5361328125
"314",136,248,162077.90625
"315",136,253,78961.015625
"316",136,258,16623.373046875
"317",136,268,24935.060546875
"318",136,273,511168.6875
"319",136,283,8311.6904296875
"320",136,288,20779.216796875
"321",136,293,37402.58984375
"322",136,298,290908.96875
"323",136,299,274285.8125
"324",136,423,37402.58984375
"325",136,469,1358960.375
"326",136,524,170389.640625
"327",136,534,585974
"328",136,564,673247
"329",136,566,74805.21875
"330",136,578,49870.14453125
"331",136,612,91428.5546875
"332",136,636,282597.46875
"333",136,644,83116.8671875
"334",136,686,303376.625
"335",138,111,9849357
"336",138,112,8444679
"337",138,122,644156
"338",138,128,428052.03125
"339",138,132,4164157
"340",138,134,10892475
"341",138,136,835324.3125
"342",138,142,760519.1875
"343",138,144,2850909.75
"344",138,146,1184415.875
"345",138,156,361558.34375
"346",138,158,290908.96875
"347",138,172,1325714
"348",138,174,33246.76171875
"349",138,176,108051.9375
"350",138,178,245194.765625
"351",138,182,220259.734375
"352",138,184,482078
"353",138,186,195324.75
"354",138,193,1001558.75
"355",138,196,286753.3125
"356",138,199,652467.375
"357",138,213,1865974.25
"358",138,218,16623.373046875
"359",138,223,781298.25
"360",138,228,70649.3671875
"361",138,233,29090.912109375
"362",138,238,87272.6953125
"363",138,243,37402.58984375
"364",138,248,12467.5361328125
"365",138,253,4155.84326171875
"366",138,258,70649.3671875
"367",138,268,8311.6904296875
"368",138,273,187012.953125
"369",138,278,16623.373046875
"370",138,283,4155.84326171875
"371",138,288,62337.6796875
"372",138,293,78961.015625
"373",138,298,265973.96875
"374",138,299,631688.4375
"375",138,343,16623.373046875
"376",138,369,20779.216796875
"377",138,423,33246.76171875
"378",138,436,62337.6796875
"379",138,469,257662.265625
"380",138,518,29090.912109375
"381",138,524,112207.828125
"382",138,534,631688.4375
"383",138,564,166233.8125
"384",138,566,78961.015625
"385",138,578,465454.59375
"386",138,612,241038.890625
"387",138,636,340779.125
"388",138,644,4155.84326171875
"389",138,652,469610.53125
"390",138,664,54025.99609375
"391",138,686,295064.90625
"392",138,694,261818.21875
"393",142,111,3428571.25
"394",142,112,6242079
"395",142,122,87272.6953125
"396",142,128,1080518.875
"397",142,132,1824415.125
"398",142,134,1346493.25
"399",142,136,477922
"400",142,138,1271688
"401",142,144,4076883.25
"402",142,146,249350.71875
"403",142,156,511168.6875
"404",142,158,191168.875
"405",142,172,228571.5
"406",142,174,29090.912109375
"407",142,176,20779.216796875
"408",142,182,91428.5546875
"409",142,184,307532.59375
"410",142,186,29090.912109375
"411",142,193,290908.96875
"412",142,196,95584.3984375
"413",142,199,66493.4921875
"414",142,213,286753.3125
"415",142,218,12467.5361328125
"416",142,223,669091
"417",142,228,20779.216796875
"418",142,273,16623.373046875
"419",142,288,16623.373046875
"420",142,299,91428.5546875
"421",142,436,49870.14453125
"422",142,469,29090.912109375
"423",142,518,12467.5361328125
"424",142,524,20779.216796875
"425",142,534,132987.046875
"426",142,564,8311.6904296875
"427",142,566,108051.9375
"428",142,578,20779.216796875
