node mean_tx_out median_tx_out mean_tx_in mean_tx_int count.mean_tx_all count.median_tx_all
274 0 0 8.854776354913604e-07 8.854776354913604e-07 8.641127909143725e-07 8.243336704858046e-07
275 0 0 0 0 0 0
276 0 0 0 0 0 0
277 0 0 0 0 0 0
278 0 0 0 0 4.019308759279579e-06 4.019308759279579e-06
279 0 0 0 0 0.007874015748031496 0.007874015748031496
280 6.787258144540092e-07 6.787258144540092e-07 0 0 1.3563506030673869e-06 1.3563506030673869e-06
281 0 0 0 0 0 0
282 0 0 0 0 0.0011961722488038277 0.0011961722488038277
283 0 0 0 0 0 0
284 0 0 0 0 0.03225806451612903 0.03225806451612903
285 0 0 0 0 0 0
286 2.26057858943852e-06 5.1013380809786405e-06 2.551024023560124e-06 9.913258983890955e-06 5.0833844495880765e-06 7.454342154304882e-05
287 0 0 0 0 0 0
288 2.7995996199263553e-06 5.037098228452553e-06 8.277754702860257e-06 1.7132381915057652e-05 9.331937773145818e-06 1.7132381915057652e-05
289 0 0 4.3299565445561186e-07 4.3299565445561186e-07 7.845998736794203e-07 7.845998736794203e-07
290 0 0 0 0 0.00021949078138718174 0.00021949078138718174
291 0 0 0 0 0 0
292 0 0 0 0 0 0
293 0 0 1.4388903277792166e-06 1.4388903277792166e-06 4.6152859192703415e-07 4.6152859192703415e-07
294 0.0049261083743842365 0.0049261083743842365 0 0 0.0049261083743842365 0.0049261083743842365
295 0 0 0 0 0.015151515151515152 0.015151515151515152
296 0 0 0 0 7.512132093330729e-06 7.512132093330729e-06
297 0 0 0 0 0 0
298 0 0 0 0 0.007042253521126761 0.007042253521126761
299 1.07670442310177e-06 1.07670442310177e-06 0 0 1.7926206769831986e-06 1.7926206769831986e-06
300 0 0 3.05008235222351e-05 3.05008235222351e-05 3.05008235222351e-05 3.05008235222351e-05
301 0 0 2.4332676351071856e-05 2.4332676351071856e-05 4.8533087432357006e-05 4.8533087432357006e-05
302 0 0 0 0 0 0
303 0 0 0 0 0.011363636363636364 0.011363636363636364
304 3.7861750091246817e-07 3.7861750091246817e-07 3.7861406051464254e-07 3.7861406051464254e-07 1.1355571327182398e-06 0.0014577259475218659
305 0 0 0 0 0.011111111111111112 0.011111111111111112
306 0 0 0 0 0 0
